temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
11.1,16.6,8.0,88,0.0,0.0,3,2025-01-01,Haridwar
10.6,16.9,6.7,89,0.0,0.0,3,2025-01-02,Haridwar
12.0,20.1,6.7,85,0.0,0.0,3,2025-01-03,Haridwar
11.5,19.0,6.3,83,0.0,0.0,3,2025-01-04,Haridwar
12.3,20.7,6.6,81,0.0,0.0,2,2025-01-05,Haridwar
12.4,19.5,7.9,83,0.6,0.6,51,2025-01-06,Haridwar
12.3,18.8,7.7,83,0.0,0.0,3,2025-01-07,Haridwar
11.9,17.4,7.9,88,0.0,0.0,3,2025-01-08,Haridwar
11.2,17.7,6.2,85,0.0,0.0,3,2025-01-09,Haridwar
10.7,17.0,6.6,87,0.0,0.0,3,2025-01-10,Haridwar
13.0,19.7,6.8,80,1.3,1.3,61,2025-01-11,Haridwar
13.0,18.3,8.9,82,3.3,3.3,53,2025-01-12,Haridwar
13.0,22.0,7.2,73,0.0,0.0,0,2025-01-13,Haridwar
11.1,18.2,6.2,84,0.0,0.0,2,2025-01-14,Haridwar
11.9,19.2,5.8,81,0.2,0.2,51,2025-01-15,Haridwar
12.9,18.5,8.9,82,11.4,11.4,63,2025-01-16,Haridwar
12.6,20.9,7.2,76,0.0,0.0,3,2025-01-17,Haridwar
11.8,18.5,7.5,84,0.0,0.0,3,2025-01-18,Haridwar
14.0,22.8,6.3,73,0.0,0.0,3,2025-01-19,Haridwar
14.4,22.7,6.4,73,0.0,0.0,3,2025-01-20,Haridwar
13.9,22.4,6.9,81,0.0,0.0,2,2025-01-21,Haridwar
13.5,22.5,6.2,71,0.0,0.0,1,2025-01-22,Haridwar
14.2,22.5,8.2,66,0.0,0.0,3,2025-01-23,Haridwar
13.0,20.9,6.7,78,0.0,0.0,0,2025-01-24,Haridwar
12.0,19.8,5.6,80,0.0,0.0,0,2025-01-25,Haridwar
11.7,19.0,6.1,85,0.0,0.0,0,2025-01-26,Haridwar
12.1,18.3,7.3,83,0.0,0.0,2,2025-01-27,Haridwar
12.5,19.4,7.5,85,0.0,0.0,3,2025-01-28,Haridwar
13.9,21.9,8.2,81,0.0,0.0,1,2025-01-29,Haridwar
